time,G(i),H_sun,T2m,WS10m,,Price
20130101:0011,0,0,7.13,5.52,1/1/2013,14.03
20130101:0111,0,0,6.83,5.02,1/1/2013,11.06
20130101:0211,0,0,6.54,4.51,1/1/2013,8.5
20130101:0311,0,0,6.24,4.01,1/1/2013,0.1
20130101:0411,0,0,5.89,3.81,1/1/2013,2.01
20130101:0511,0,0,5.53,3.6,1/1/2013,22.81
20130101:0611,0,0,5.18,3.39,1/1/2013,27.93
20130101:0711,0,0,5.07,3.54,1/1/2013,28.01
20130101:0811,0,0.29,4.95,3.7,1/1/2013,27.8
20130101:0911,19.87,5.32,4.84,3.85,1/1/2013,27.35
20130101:1011,9.94,8.73,4.88,4.29,1/1/2013,28.22
20130101:1111,316.49,10.27,4.93,4.72,1/1/2013,30.27
20130101:1211,246.46,9.81,4.97,5.16,1/1/2013,30.27
20130101:1311,357.74,7.39,4.78,4.77,1/1/2013,31.02
20130101:1411,7.23,3.2,4.6,4.38,1/1/2013,32.36
20130101:1511,0,0,4.41,3.99,1/1/2013,33.64
20130101:1611,0,0,4.26,3.97,1/1/2013,34.43
20130101:1711,0,0,4.1,3.95,1/1/2013,36.24
20130101:1811,0,0,3.95,3.93,1/1/2013,37.12
20130101:1911,0,0,3.92,3.89,1/1/2013,36.34
20130101:2011,0,0,3.9,3.84,1/1/2013,36.3
20130101:2111,0,0,3.87,3.79,1/1/2013,33.59
20130101:2211,0,0,3.77,3.47,1/1/2013,34.65
20130101:2311,0,0,3.66,3.14,1/1/2013,25.34
20130102:0011,0,0,3.56,2.81,2/1/2013,23.61
20130102:0111,0,0,3.58,3.35,2/1/2013,14.92
20130102:0211,0,0,3.6,3.89,2/1/2013,16.45
20130102:0311,0,0,3.62,4.43,2/1/2013,11.81
20130102:0411,0,0,3.59,4.41,2/1/2013,11.99
20130102:0511,0,0,3.56,4.4,2/1/2013,29.67
20130102:0611,0,0,3.53,4.39,2/1/2013,31.03
20130102:0711,0,0,3.77,4.41,2/1/2013,44.38
20130102:0811,0,0.32,4.01,4.43,2/1/2013,39.42
20130102:0911,260.75,5.37,4.26,4.46,2/1/2013,38.54
20130102:1011,160.28,8.79,4.61,4.67,2/1/2013,38.68
20130102:1111,259.41,10.35,4.97,4.89,2/1/2013,38.49
20130102:1211,244.62,9.9,5.32,5.1,2/1/2013,38.07
20130102:1311,147.87,7.49,5.05,4.89,2/1/2013,37.95
20130102:1411,5.42,3.32,4.79,4.67,2/1/2013,37.91
20130102:1511,0,0,4.52,4.46,2/1/2013,38.85
20130102:1611,0,0,4.6,4.69,2/1/2013,39.92
20130102:1711,0,0,4.68,4.93,2/1/2013,40.52
20130102:1811,0,0,4.76,5.17,2/1/2013,39.62
20130102:1911,0,0,4.88,5.16,2/1/2013,38.75
20130102:2011,0,0,5,5.14,2/1/2013,37.46
20130102:2111,0,0,5.12,5.13,2/1/2013,36.94
20130102:2211,0,0,5.3,5.39,2/1/2013,36.77
20130102:2311,0,0,5.47,5.65,2/1/2013,34.21
20130103:0011,0,0,5.65,5.9,3/1/2013,25.07
20130103:0111,0,0,6.4,6.03,3/1/2013,20.07
20130103:0211,0,0,7.15,6.16,3/1/2013,14.54
20130103:0311,0,0,7.9,6.29,3/1/2013,13.99
20130103:0411,0,0,8.13,6.38,3/1/2013,13.92
20130103:0511,0,0,8.36,6.46,3/1/2013,17.99
20130103:0611,0,0,8.59,6.55,3/1/2013,28.12
20130103:0711,0,0,8.48,7.08,3/1/2013,35.83
20130103:0811,0,0.36,8.36,7.6,3/1/2013,36.39
20130103:0911,188.03,5.42,8.25,8.12,3/1/2013,36.52
20130103:1011,258.35,8.87,7.99,8.63,3/1/2013,36.71
20130103:1111,363.66,10.44,7.74,9.13,3/1/2013,36.6
20130103:1211,260.68,10.01,7.49,9.63,3/1/2013,36.51
20130103:1311,76.58,7.61,7.4,9.41,3/1/2013,36.4
20130103:1411,10.84,3.44,7.3,9.19,3/1/2013,36.41
20130103:1511,0,0,7.21,8.97,3/1/2013,36.49
20130103:1611,0,0,7.05,8.67,3/1/2013,36.62
20130103:1711,0,0,6.88,8.38,3/1/2013,36.74
20130103:1811,0,0,6.71,8.08,3/1/2013,36.75
20130103:1911,0,0,6.68,7.76,3/1/2013,36.41
20130103:2011,0,0,6.64,7.44,3/1/2013,35.89
20130103:2111,0,0,6.61,7.12,3/1/2013,35.43
20130103:2211,0,0,6.58,7.21,3/1/2013,34.75
20130103:2311,0,0,6.55,7.31,3/1/2013,28.11
20130104:0011,0,0,6.52,7.41,4/1/2013,13.54
20130104:0111,0,0,6.5,7.08,4/1/2013,11.91
20130104:0211,0,0,6.48,6.75,4/1/2013,9.5
20130104:0311,0,0,6.46,6.43,4/1/2013,11.04
20130104:0411,0,0,6.47,5.48,4/1/2013,10.75
20130104:0511,0,0,6.47,4.53,4/1/2013,17.94
20130104:0611,0,0,6.47,3.59,4/1/2013,34.07
20130104:0711,0,0,6.83,4.43,4/1/2013,36.93
20130104:0811,0,0.41,7.19,5.28,4/1/2013,36.95
20130104:0911,7.23,5.49,7.55,6.12,4/1/2013,36.68
20130104:1011,18.07,8.95,7.83,6.52,4/1/2013,36.8
20130104:1111,16.26,10.53,8.12,6.92,4/1/2013,36.64
20130104:1211,11.74,10.12,8.41,7.32,4/1/2013,36.46
20130104:1311,14.45,7.73,8.36,7.61,4/1/2013,36.32
20130104:1411,9.03,3.57,8.31,7.89,4/1/2013,35.84
20130104:1511,0,0,8.26,8.18,4/1/2013,36.08
20130104:1611,0,0,8.19,7.91,4/1/2013,36.79
20130104:1711,0,0,8.12,7.64,4/1/2013,37.43
20130104:1811,0,0,8.05,7.37,4/1/2013,37.15
20130104:1911,0,0,8.02,7.36,4/1/2013,36.47
20130104:2011,0,0,7.98,7.35,4/1/2013,36.03
20130104:2111,0,0,7.95,7.34,4/1/2013,35.43
20130104:2211,0,0,7.78,6.42,4/1/2013,36.03
20130104:2311,0,0,7.62,5.51,4/1/2013,32.01
20130105:0011,0,0,7.45,4.59,5/1/2013,30.86
20130105:0111,0,0,7.15,4.19,5/1/2013,32.37
20130105:0211,0,0,6.85,3.79,5/1/2013,24.8
20130105:0311,0,0,6.55,3.39,5/1/2013,30.95
20130105:0411,0,0,6.16,2.79,5/1/2013,32.77
20130105:0511,0,0,5.76,2.18,5/1/2013,33.75
20130105:0611,0,0,5.37,1.57,5/1/2013,34.02
20130105:0711,0,0,5.18,1.43,5/1/2013,33.93
20130105:0811,0,0.47,4.98,1.29,5/1/2013,32.59
20130105:0911,5.42,5.56,4.79,1.14,5/1/2013,38
20130105:1011,151.38,9.04,5.26,1.45,5/1/2013,36.71
20130105:1111,18.07,10.64,5.74,1.75,5/1/2013,36.75
20130105:1211,38.84,10.24,6.21,2.06,5/1/2013,36.53
20130105:1311,24.39,7.86,6.07,2.1,5/1/2013,36.13
20130105:1411,2.71,3.71,5.94,2.15,5/1/2013,36.15
20130105:1511,0,0,5.8,2.19,5/1/2013,36.79
20130105:1611,0,0,5.84,2.62,5/1/2013,38.12
20130105:1711,0,0,5.87,3.05,5/1/2013,46.59
20130105:1811,0,0,5.91,3.48,5/1/2013,40.6
20130105:1911,0,0,6.03,3.66,5/1/2013,36.96
20130105:2011,0,0,6.14,3.85,5/1/2013,36.25
20130105:2111,0,0,6.26,4.04,5/1/2013,35.88
20130105:2211,0,0,6.34,3.67,5/1/2013,35.7
20130105:2311,0,0,6.41,3.3,5/1/2013,35.44
20130106:0011,0,0,6.49,2.92,6/1/2013,32.78
20130106:0111,0,0,6.46,3.25,6/1/2013,32.02
20130106:0211,0,0,6.43,3.57,6/1/2013,32.25
20130106:0311,0,0,6.39,3.89,6/1/2013,32.41
20130106:0411,0,0,6.46,3.86,6/1/2013,32.45
20130106:0511,0,0,6.52,3.83,6/1/2013,32.8
20130106:0611,0,0,6.58,3.79,6/1/2013,33.27
20130106:0711,0,0,6.74,4.07,6/1/2013,32.97
20130106:0811,0,0.54,6.91,4.34,6/1/2013,33.65
20130106:0911,198.73,5.64,7.08,4.62,6/1/2013,34.25
20130106:1011,14.45,9.13,7.16,4.72,6/1/2013,34.96
20130106:1111,23.49,10.75,7.24,4.82,6/1/2013,35.98
20130106:1211,14.45,10.36,7.33,4.92,6/1/2013,35.95
20130106:1311,10.84,8,6.86,4.45,6/1/2013,34.86
20130106:1411,23.85,3.85,6.39,3.98,6/1/2013,34.85
20130106:1511,0,0,5.91,3.5,6/1/2013,35.18
20130106:1611,0,0,5.55,3.08,6/1/2013,32.1
20130106:1711,0,0,5.2,2.66,6/1/2013,37.36
20130106:1811,0,0,4.84,2.23,6/1/2013,40.05
20130106:1911,0,0,4.56,2.11,6/1/2013,38.25
20130106:2011,0,0,4.29,1.98,6/1/2013,36.96
20130106:2111,0,0,4.01,1.85,6/1/2013,36.06
20130106:2211,0,0,3.9,1.58,6/1/2013,36.32
20130106:2311,0,0,3.78,1.31,6/1/2013,34.56
20130107:0011,0,0,3.67,1.03,7/1/2013,34.96
20130107:0111,0,0,3.45,0.88,7/1/2013,33.7
20130107:0211,0,0,3.23,0.73,7/1/2013,33.12
20130107:0311,0,0,3.01,0.58,7/1/2013,33.26
20130107:0411,0,0,3.11,0.7,7/1/2013,30.17
20130107:0511,0,0,3.2,0.83,7/1/2013,29.9
20130107:0611,0,0,3.29,0.95,7/1/2013,46.55
20130107:0711,0,0,3.45,1.47,7/1/2013,61.99
20130107:0811,0,0.61,3.61,1.98,7/1/2013,63.74
20130107:0911,14.45,5.73,3.77,2.5,7/1/2013,64.94
20130107:1011,18.07,9.23,4.09,2.46,7/1/2013,64.19
20130107:1111,21.68,10.87,4.41,2.43,7/1/2013,64
20130107:1211,23.49,10.49,4.73,2.4,7/1/2013,63.52
20130107:1311,22.58,8.14,4.82,2.51,7/1/2013,62.65
20130107:1411,14.45,4,4.91,2.62,7/1/2013,62.63
20130107:1511,0,0,5,2.73,7/1/2013,60.96
20130107:1611,0,0,5.18,2.88,7/1/2013,60.84
20130107:1711,0,0,5.37,3.03,7/1/2013,71.47
20130107:1811,0,0,5.55,3.19,7/1/2013,49.04
20130107:1911,0,0,5.69,3.14,7/1/2013,39.14
20130107:2011,0,0,5.84,3.09,7/1/2013,38.05
20130107:2111,0,0,5.98,3.03,7/1/2013,37.45
20130107:2211,0,0,6.03,2.86,7/1/2013,36.49
20130107:2311,0,0,6.08,2.68,7/1/2013,35.55
20130108:0011,0,0,6.13,2.5,8/1/2013,35.44
20130108:0111,0,0,6.15,2.35,8/1/2013,35.01
20130108:0211,0,0,6.17,2.21,8/1/2013,34.83
20130108:0311,0,0,6.18,2.07,8/1/2013,34.84
20130108:0411,0,0,6.17,2.29,8/1/2013,35.21
20130108:0511,0,0,6.15,2.51,8/1/2013,36.26
20130108:0611,0,0,6.13,2.73,8/1/2013,39.47
20130108:0711,0,0,6.22,2.54,8/1/2013,49.62
20130108:0811,0,0.69,6.3,2.34,8/1/2013,52.13
20130108:0911,14.45,5.82,6.39,2.15,8/1/2013,52.29
20130108:1011,29.81,9.34,6.45,2.29,8/1/2013,52.33
20130108:1111,19.87,10.99,6.51,2.44,8/1/2013,52.31
20130108:1211,29.81,10.63,6.57,2.58,8/1/2013,49.79
20130108:1311,46.49,8.29,6.27,2.02,8/1/2013,52.31
20130108:1411,3.61,4.16,5.97,1.47,8/1/2013,49.72
20130108:1511,0,0,5.67,0.91,8/1/2013,49.62
20130108:1611,0,0,5.55,0.88,8/1/2013,54.48
20130108:1711,0,0,5.42,0.85,8/1/2013,68.92
20130108:1811,0,0,5.3,0.81,8/1/2013,66.28
20130108:1911,0,0,5.45,1.08,8/1/2013,52.34
20130108:2011,0,0,5.59,1.35,8/1/2013,46.53
20130108:2111,0,0,5.74,1.61,8/1/2013,39.31
20130108:2211,0,0,5.72,1.84,8/1/2013,38.21
20130108:2311,0,0,5.7,2.06,8/1/2013,36.12
20130109:0011,0,0,5.68,2.29,9/1/2013,36.47
20130109:0111,0,0,5.69,2.39,9/1/2013,35.9
20130109:0211,0,0,5.71,2.49,9/1/2013,35.4
20130109:0311,0,0,5.72,2.59,9/1/2013,35.73
20130109:0411,0,0,5.72,2.65,9/1/2013,35.91
20130109:0511,0,0,5.71,2.71,9/1/2013,37.27
20130109:0611,0,0,5.7,2.77,9/1/2013,39.4
20130109:0711,0,0,5.79,2.51,9/1/2013,42.84
20130109:0811,0,0.77,5.88,2.24,9/1/2013,44.93
20130109:0911,5.42,5.92,5.98,1.97,9/1/2013,42.84
20130109:1011,16.26,9.46,6.02,2.7,9/1/2013,41.61
20130109:1111,46.97,11.13,6.07,3.43,9/1/2013,41.07
20130109:1211,102.72,10.78,6.11,4.17,9/1/2013,40.75
20130109:1311,138.51,8.45,5.78,4.51,9/1/2013,41.6
20130109:1411,4.52,4.32,5.46,4.85,9/1/2013,40.96
20130109:1511,0,0,5.13,5.19,9/1/2013,41.69
20130109:1611,0,0,4.95,5.25,9/1/2013,44.43
20130109:1711,0,0,4.78,5.31,9/1/2013,44.19
20130109:1811,0,0,4.6,5.37,9/1/2013,42.24
20130109:1911,0,0,4.55,4.93,9/1/2013,40.14
20130109:2011,0,0,4.51,4.49,9/1/2013,39.03
20130109:2111,0,0,4.46,4.06,9/1/2013,37.95
20130109:2211,0,0,4.05,4.34,9/1/2013,36.76
20130109:2311,0,0,3.63,4.63,9/1/2013,35.17
20130110:0011,0,0,3.22,4.92,10/1/2013,34.89
20130110:0111,0,0,2.79,5.24,10/1/2013,34.38
20130110:0211,0,0,2.36,5.55,10/1/2013,32.97
20130110:0311,0,0,1.93,5.86,10/1/2013,33.26
20130110:0411,0,0,1.38,5.59,10/1/2013,34.06
20130110:0511,0,0,0.83,5.32,10/1/2013,33.91
20130110:0611,0,0,0.28,5.05,10/1/2013,38.15
20130110:0711,0,0,0.11,4.86,10/1/2013,47.72
20130110:0811,0,0.86,-0.06,4.67,10/1/2013,45.59
20130110:0911,343.04,6.03,-0.23,4.48,10/1/2013,43.61
20130110:1011,540.89,9.59,0.13,5.17,10/1/2013,42.49
20130110:1111,57.12,11.27,0.49,5.86,10/1/2013,42.32
20130110:1211,41.55,10.93,0.85,6.55,10/1/2013,42.44
20130110:1311,46.27,8.61,0.88,5.99,10/1/2013,43.31
20130110:1411,8.13,4.49,0.91,5.43,10/1/2013,44.46
20130110:1511,0,0,0.94,4.87,10/1/2013,45.78
20130110:1611,0,0,0.74,4.44,10/1/2013,51.64
20130110:1711,0,0,0.54,4.01,10/1/2013,52.03
20130110:1811,0,0,0.34,3.59,10/1/2013,44.14
20130110:1911,0,0,0.23,3.3,10/1/2013,41.95
20130110:2011,0,0,0.11,3.02,10/1/2013,40.51
20130110:2111,0,0,0,2.73,10/1/2013,39.69
20130110:2211,0,0,-0.14,2.66,10/1/2013,38.79
20130110:2311,0,0,-0.28,2.58,10/1/2013,37.34
20130111:0011,0,0,-0.42,2.51,11/1/2013,37
20130111:0111,0,0,-0.44,2.43,11/1/2013,36.14
20130111:0211,0,0,-0.46,2.34,11/1/2013,35.78
20130111:0311,0,0,-0.48,2.26,11/1/2013,35.31
20130111:0411,0,0,-0.62,2.3,11/1/2013,35.4
20130111:0511,0,0,-0.77,2.34,11/1/2013,38.1
20130111:0611,0,0,-0.91,2.39,11/1/2013,40.64
20130111:0711,0,0,-0.88,2.61,11/1/2013,48.12
20130111:0811,0,0.96,-0.86,2.83,11/1/2013,54.93
20130111:0911,86.26,6.15,-0.83,3.05,11/1/2013,48.59
20130111:1011,50.28,9.72,-0.74,3.31,11/1/2013,46.8
20130111:1111,258.62,11.42,-0.64,3.58,11/1/2013,44.94
20130111:1211,375.12,11.09,-0.55,3.85,11/1/2013,44.77
20130111:1311,192.5,8.78,-0.67,3.93,11/1/2013,44.03
20130111:1411,56.73,4.66,-0.79,4.01,11/1/2013,45.15
20130111:1511,0,0,-0.91,4.1,11/1/2013,45.61
20130111:1611,0,0,-0.96,3.6,11/1/2013,52.68
20130111:1711,0,0,-1.02,3.1,11/1/2013,54.03
20130111:1811,0,0,-1.07,2.61,11/1/2013,45.29
20130111:1911,0,0,-1.21,2.47,11/1/2013,42.5
20130111:2011,0,0,-1.35,2.33,11/1/2013,40.47
20130111:2111,0,0,-1.49,2.19,11/1/2013,39.64
20130111:2211,0,0,-1.5,2.23,11/1/2013,38.84
20130111:2311,0,0,-1.52,2.27,11/1/2013,37.64
20130112:0011,0,0,-1.53,2.3,12/1/2013,37.94
20130112:0111,0,0,-1.56,3.02,12/1/2013,37.52
20130112:0211,0,0,-1.59,3.73,12/1/2013,36.9
20130112:0311,0,0,-1.62,4.44,12/1/2013,36.98
20130112:0411,0,0,-1.65,4.38,12/1/2013,36.86
20130112:0511,0,0,-1.69,4.31,12/1/2013,37.24
20130112:0611,0,0,-1.73,4.25,12/1/2013,37.9
20130112:0711,0,0,-1.63,4.16,12/1/2013,38.62
20130112:0811,0,1.07,-1.53,4.07,12/1/2013,39.27
20130112:0911,18.97,6.27,-1.42,3.99,12/1/2013,40.51
20130112:1011,18.07,9.86,-1.15,3.74,12/1/2013,41.22
20130112:1111,20.78,11.57,-0.87,3.49,12/1/2013,41.5
20130112:1211,17.16,11.26,-0.59,3.24,12/1/2013,41.23
20130112:1311,13.55,8.95,-1.24,2.97,12/1/2013,40.95
20130112:1411,5.42,4.84,-1.89,2.71,12/1/2013,40.95
20130112:1511,0,0,-2.54,2.44,12/1/2013,43.17
20130112:1611,0,0,-2.8,2.31,12/1/2013,46.98
20130112:1711,0,0,-3.06,2.17,12/1/2013,57.02
20130112:1811,0,0,-3.32,2.04,12/1/2013,64.93
20130112:1911,0,0,-3.52,2.01,12/1/2013,42.67
20130112:2011,0,0,-3.71,1.99,12/1/2013,40.74
20130112:2111,0,0,-3.91,1.96,12/1/2013,39.81
20130112:2211,0,0,-4.03,2.27,12/1/2013,39.54
20130112:2311,0,0,-4.15,2.58,12/1/2013,38.03
20130113:0011,0,0,-4.27,2.9,13-01-2013,38.69
20130113:0111,0,0,-4.02,2.9,13-01-2013,38.36
20130113:0211,0,0,-3.77,2.9,13-01-2013,37.9
20130113:0311,0,0,-3.52,2.9,13-01-2013,36.81
20130113:0411,0,0,-3.58,2.89,13-01-2013,36.87
20130113:0511,0,0,-3.65,2.89,13-01-2013,37.35
20130113:0611,0,0,-3.72,2.88,13-01-2013,37.29
20130113:0711,0,0,-3.66,2.87,13-01-2013,37.68
20130113:0811,0,1.19,-3.6,2.86,13-01-2013,37.82
20130113:0911,22.58,6.4,-3.54,2.84,13-01-2013,38.46
20130113:1011,28.91,10.01,-2.68,2.69,13-01-2013,39.12
20130113:1111,62.42,11.73,-1.82,2.53,13-01-2013,39.75
20130113:1211,28,11.44,-0.96,2.37,13-01-2013,39.55
20130113:1311,16.26,9.14,-1.75,2.04,13-01-2013,39.05
20130113:1411,6.32,5.03,-2.53,1.71,13-01-2013,38.97
20130113:1511,0,0,-3.32,1.38,13-01-2013,39.5
20130113:1611,0,0,-3.85,1.52,13-01-2013,40.39
20130113:1711,0,0,-4.39,1.66,13-01-2013,44.38
20130113:1811,0,0,-4.92,1.81,13-01-2013,47.73
20130113:1911,0,0,-5.17,1.78,13-01-2013,44.9
20130113:2011,0,0,-5.41,1.76,13-01-2013,40.63
20130113:2111,0,0,-5.66,1.74,13-01-2013,39.64
20130113:2211,0,0,-5.7,1.81,13-01-2013,39.66
20130113:2311,0,0,-5.74,1.88,13-01-2013,38.02
20130114:0011,0,0,-5.78,1.94,14-01-2013,36.89
20130114:0111,0,0,-4.78,2.82,14-01-2013,36.64
20130114:0211,0,0,-3.78,3.69,14-01-2013,36.61
20130114:0311,0,0,-2.79,4.57,14-01-2013,36.83
20130114:0411,0,0,-2.92,4.57,14-01-2013,37.7
20130114:0511,0,0,-3.06,4.58,14-01-2013,36.67
20130114:0611,0,0,-3.2,4.59,14-01-2013,44.26
20130114:0711,0,0,-3.46,3.96,14-01-2013,60.76
20130114:0811,0,1.31,-3.72,3.32,14-01-2013,62.07
20130114:0911,79.43,6.54,-3.98,2.69,14-01-2013,61.99
20130114:1011,16.26,10.16,-3.66,3.29,14-01-2013,62.74
20130114:1111,73.36,11.9,-3.33,3.89,14-01-2013,63.19
20130114:1211,116.6,11.62,-3,4.5,14-01-2013,60.34
20130114:1311,211.56,9.33,-3.4,4.29,14-01-2013,59.65
20130114:1411,7.23,5.22,-3.79,4.08,14-01-2013,57.26
20130114:1511,0,0,-4.19,3.88,14-01-2013,56.56
20130114:1611,0,0,-4.7,3.71,14-01-2013,57.52
20130114:1711,0,0,-5.21,3.54,14-01-2013,70.76
20130114:1811,0,0,-5.72,3.37,14-01-2013,72.1
20130114:1911,0,0,-5.71,3.62,14-01-2013,57.11
20130114:2011,0,0,-5.7,3.87,14-01-2013,43.62
20130114:2111,0,0,-5.69,4.12,14-01-2013,41.65
20130114:2211,0,0,-5.56,3.73,14-01-2013,40.48
20130114:2311,0,0,-5.44,3.33,14-01-2013,38.02
20130115:0011,0,0,-5.31,2.94,15-01-2013,38.74
20130115:0111,0,0,-4.65,3.12,15-01-2013,37.79
20130115:0211,0,0,-3.98,3.3,15-01-2013,36.92
20130115:0311,0,0,-3.32,3.48,15-01-2013,37.91
20130115:0411,0,0,-3.33,3.65,15-01-2013,38.32
20130115:0511,0,0,-3.35,3.83,15-01-2013,38
20130115:0611,0,0,-3.36,4,15-01-2013,44.1
20130115:0711,0,0,-3.31,3.74,15-01-2013,62.25
20130115:0811,0,1.44,-3.25,3.49,15-01-2013,64.4
20130115:0911,11.74,6.68,-3.19,3.23,15-01-2013,63.2
20130115:1011,16.26,10.32,-2.73,2.69,15-01-2013,62.52
20130115:1111,20.78,12.08,-2.27,2.16,15-01-2013,54.88
20130115:1211,18.07,11.8,-1.8,1.63,15-01-2013,51.48
20130115:1311,10.84,9.52,-2.08,1.7,15-01-2013,56.49
20130115:1411,4.52,5.42,-2.37,1.77,15-01-2013,58.89
20130115:1511,0,0,-2.65,1.85,15-01-2013,61.67
20130115:1611,0,0,-2.88,1.94,15-01-2013,64.49
20130115:1711,0,0,-3.12,2.03,15-01-2013,70.92
20130115:1811,0,0,-3.36,2.12,15-01-2013,55.85
20130115:1911,0,0,-3.69,2.22,15-01-2013,47.23
20130115:2011,0,0,-4.02,2.32,15-01-2013,43.38
20130115:2111,0,0,-4.35,2.41,15-01-2013,41.71
20130115:2211,0,0,-4.24,2.04,15-01-2013,40.55
20130115:2311,0,0,-4.14,1.66,15-01-2013,38.82
20130116:0011,0,0,-4.03,1.28,16-01-2013,39
20130116:0111,0,0,-4.54,1.35,16-01-2013,37.99
20130116:0211,0,0,-5.05,1.42,16-01-2013,37.38
20130116:0311,0,0,-5.57,1.49,16-01-2013,37.96
20130116:0411,0,0,-6.15,1.14,16-01-2013,38.44
20130116:0511,0,0,-6.74,0.78,16-01-2013,38.82
20130116:0611,0,0,-7.33,0.43,16-01-2013,46.03
20130116:0711,0,0,-7.41,0.43,16-01-2013,62.85
20130116:0811,0,1.57,-7.5,0.44,16-01-2013,68.2
20130116:0911,25.29,6.83,-7.58,0.44,16-01-2013,72.15
20130116:1011,32.52,10.49,-6.48,1.03,16-01-2013,72.31
20130116:1111,64.05,12.26,-5.38,1.61,16-01-2013,52.7
20130116:1211,17.16,12,-4.27,2.19,16-01-2013,57.98
20130116:1311,20.78,9.72,-4.71,2.29,16-01-2013,63.48
20130116:1411,5.42,5.62,-5.14,2.4,16-01-2013,58.63
20130116:1511,0,0,-5.58,2.5,16-01-2013,57.98
20130116:1611,0,0,-6.05,2.7,16-01-2013,58.92
20130116:1711,0,0,-6.52,2.91,16-01-2013,69.93
20130116:1811,0,0,-6.99,3.12,16-01-2013,60.04
20130116:1911,0,0,-7.04,3.03,16-01-2013,50.58
20130116:2011,0,0,-7.08,2.95,16-01-2013,43.1
20130116:2111,0,0,-7.13,2.87,16-01-2013,41.89
20130116:2211,0,0,-7.31,2.94,16-01-2013,41.38
20130116:2311,0,0,-7.48,3.01,16-01-2013,37.9
20130117:0011,0,0,-7.66,3.08,17-01-2013,39.41
20130117:0111,0,0,-7.5,3.36,17-01-2013,39.03
20130117:0211,0,0,-7.34,3.65,17-01-2013,38.93
20130117:0311,0,0,-7.18,3.93,17-01-2013,39.23
20130117:0411,0,0,-7.34,3.88,17-01-2013,39.65
20130117:0511,0,0,-7.51,3.83,17-01-2013,40.69
20130117:0611,0,0,-7.67,3.78,17-01-2013,43.82
20130117:0711,0,0,-7.61,3.83,17-01-2013,61.58
20130117:0811,0,1.71,-7.56,3.87,17-01-2013,62.42
20130117:0911,158.54,6.99,-7.5,3.92,17-01-2013,59.92
20130117:1011,32.52,10.66,-6.26,3.55,17-01-2013,58.14
20130117:1111,236.8,12.45,-5.01,3.19,17-01-2013,57.88
20130117:1211,107.25,12.2,-3.77,2.83,17-01-2013,58.52
20130117:1311,27.1,9.93,-4.28,3,17-01-2013,62.62
20130117:1411,10.84,5.83,-4.78,3.18,17-01-2013,61.91
20130117:1511,0,0.21,-5.29,3.35,17-01-2013,61.94
20130117:1611,0,0,-5.9,3.37,17-01-2013,62.3
20130117:1711,0,0,-6.51,3.39,17-01-2013,72.83
20130117:1811,0,0,-7.12,3.41,17-01-2013,86.07
20130117:1911,0,0,-6.92,3.38,17-01-2013,61.3
20130117:2011,0,0,-6.73,3.36,17-01-2013,48.66
20130117:2111,0,0,-6.53,3.34,17-01-2013,45.96
20130117:2211,0,0,-6.34,3.6,17-01-2013,43.28
20130117:2311,0,0,-6.14,3.85,17-01-2013,39.44
20130118:0011,0,0,-5.95,4.11,18-01-2013,39.76
20130118:0111,0,0,-5.8,3.69,18-01-2013,38.91
20130118:0211,0,0,-5.64,3.26,18-01-2013,38.62
20130118:0311,0,0,-5.49,2.84,18-01-2013,39.01
20130118:0411,0,0,-5.39,3.02,18-01-2013,39.21
20130118:0511,0,0,-5.3,3.19,18-01-2013,38.03
20130118:0611,0,0,-5.2,3.37,18-01-2013,47.25
20130118:0711,0,0,-5.04,3.26,18-01-2013,62.44
20130118:0811,0,1.86,-4.88,3.15,18-01-2013,66.56
20130118:0911,23.49,7.15,-4.72,3.05,18-01-2013,64.95
20130118:1011,20.78,10.84,-4.02,3.6,18-01-2013,61.25
20130118:1111,23.49,12.65,-3.31,4.16,18-01-2013,49.93
20130118:1211,15.36,12.4,-2.6,4.72,18-01-2013,48.41
20130118:1311,42.46,10.14,-2.76,4.13,18-01-2013,47.18
20130118:1411,10.84,6.05,-2.92,3.54,18-01-2013,47.33
20130118:1511,0,0.43,-3.09,2.95,18-01-2013,47.97
20130118:1611,0,0,-3.14,3.41,18-01-2013,54.6
20130118:1711,0,0,-3.19,3.86,18-01-2013,62.2
20130118:1811,0,0,-3.24,4.32,18-01-2013,51.88
20130118:1911,0,0,-3.16,4.41,18-01-2013,44.16
20130118:2011,0,0,-3.07,4.51,18-01-2013,41.97
20130118:2111,0,0,-2.99,4.61,18-01-2013,40.43
20130118:2211,0,0,-3.3,4.25,18-01-2013,39.19
20130118:2311,0,0,-3.61,3.89,18-01-2013,38.69
20130119:0011,0,0,-3.92,3.53,19-01-2013,33.79
20130119:0111,0,0,-4.17,3.45,19-01-2013,33.68
20130119:0211,0,0,-4.42,3.37,19-01-2013,32.79
20130119:0311,0,0,-4.67,3.28,19-01-2013,32.86
20130119:0411,0,0,-4.78,3.13,19-01-2013,32.41
20130119:0511,0,0,-4.89,2.98,19-01-2013,32.5
20130119:0611,0,0,-5,2.83,19-01-2013,31.75
20130119:0711,0,0,-4.96,3.01,19-01-2013,37.69
20130119:0811,0,2.02,-4.92,3.19,19-01-2013,38.06
20130119:0911,41.09,7.33,-4.88,3.37,19-01-2013,41.54
20130119:1011,28,11.03,-4.35,4.03,19-01-2013,41.56
